start,end,chrom,resolution
500000,1500000,chrX,500000
2000000,3000000,chrX,500000
9500000,11500000,chrX,500000
12500000,14000000,chrX,500000
14500000,15500000,chrX,500000
16500000,18000000,chrX,500000
20000000,22000000,chrX,500000
24500000,25500000,chrX,500000
37000000,38000000,chrX,500000
41000000,42000000,chrX,500000
43500000,45500000,chrX,500000
46000000,47000000,chrX,500000
49500000,50500000,chrX,500000
52000000,53000000,chrX,500000
57000000,58000000,chrX,500000
65000000,67500000,chrX,500000
69000000,71000000,chrX,500000
73500000,75000000,chrX,500000
76500000,77500000,chrX,500000
78500000,80000000,chrX,500000
81000000,82000000,chrX,500000
88500000,90500000,chrX,500000
91500000,92500000,chrX,500000
97000000,98000000,chrX,500000
100000000,101000000,chrX,500000
103500000,105000000,chrX,500000
106000000,108500000,chrX,500000
111000000,112500000,chrX,500000
114000000,115000000,chrX,500000
116500000,117500000,chrX,500000
119000000,121000000,chrX,500000
125500000,126500000,chrX,500000
127000000,128500000,chrX,500000
129500000,131000000,chrX,500000
133000000,134000000,chrX,500000
135500000,137000000,chrX,500000
145500000,147500000,chrX,500000
149000000,150500000,chrX,500000
