start,end,chrom,resolution
500000,1500000,chrX,500000
3000000,4000000,chrX,500000
8000000,9000000,chrX,500000
13000000,14000000,chrX,500000
15000000,16000000,chrX,500000
19500000,20500000,chrX,500000
21000000,22000000,chrX,500000
24500000,25500000,chrX,500000
37000000,38000000,chrX,500000
41000000,42000000,chrX,500000
43000000,44000000,chrX,500000
49500000,50500000,chrX,500000
52000000,53000000,chrX,500000
54000000,55000000,chrX,500000
61500000,63000000,chrX,500000
64500000,65500000,chrX,500000
69500000,72500000,chrX,500000
73500000,75500000,chrX,500000
82000000,83500000,chrX,500000
92500000,93500000,chrX,500000
94000000,95000000,chrX,500000
97000000,99500000,chrX,500000
100500000,101500000,chrX,500000
102500000,103500000,chrX,500000
104500000,106500000,chrX,500000
107500000,108500000,chrX,500000
111000000,113000000,chrX,500000
114000000,115000000,chrX,500000
116500000,117500000,chrX,500000
119000000,121000000,chrX,500000
125000000,126000000,chrX,500000
126500000,128500000,chrX,500000
132500000,133500000,chrX,500000
136500000,138000000,chrX,500000
143500000,146000000,chrX,500000
146500000,147500000,chrX,500000
148000000,149000000,chrX,500000
151000000,153388924,chrX,500000
